City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Aswan,EG,2022-04-03 21:50:56,24.0934,32.907,92.5,16,0,11.5
241,Alur,IN,2022-04-03 21:50:56,12.9833,75.9833,69.85,87,57,5.12
242,Hervey Bay,AU,2022-04-03 21:48:55,-25.2986,152.8535,71.02,91,1,5.99
243,Havre-Saint-Pierre,CA,2022-04-03 21:50:57,50.2334,-63.5986,35.96,69,0,16.11
244,Ust-Uda,RU,2022-04-03 21:50:57,54.1742,103.0304,14.56,96,99,3.69
245,San Patricio,US,2022-04-03 21:43:30,28.017,-97.5169,86.18,50,0,14.63
246,Podor,MR,2022-04-03 21:50:58,16.6527,-14.9587,80.55,44,0,4.61
247,Marneuli,GE,2022-04-03 21:50:59,41.4759,44.8089,65.14,49,86,7.14
248,Kirakira,SB,2022-04-03 21:50:59,-10.4544,161.9205,81.82,83,95,10.29
249,Charleston,US,2022-04-03 21:49:06,32.7766,-79.9309,77.02,29,0,9.22
250,Moose Factory,CA,2022-04-03 21:51:00,51.2585,-80.6094,30.2,54,100,10.36
251,Varanasi,IN,2022-04-03 21:51:00,25.3333,83.0,78.03,10,0,3.67
252,Kloulklubed,PW,2022-04-03 21:51:00,7.0419,134.2556,80.55,78,100,5.68
253,Danville,US,2022-04-03 21:51:01,36.586,-79.395,65.05,22,0,10.36
254,Barabinsk,RU,2022-04-03 21:51:01,55.3571,78.357,33.19,100,100,6.35
255,Emba,KZ,2022-04-03 21:51:02,48.8264,58.1442,46.53,57,100,12.8
256,Dayong,CN,2022-04-03 21:50:31,25.0209,118.2898,50.05,77,0,3.24
257,Perbaungan,ID,2022-04-03 21:51:03,3.5679,98.956,75.31,93,100,5.53
258,Sale,MA,2022-04-03 21:51:03,34.0389,-6.8166,57.74,100,75,0.0
259,Comodoro Rivadavia,AR,2022-04-03 21:51:04,-45.8667,-67.5,60.66,29,0,23.02
260,Carnarvon,AU,2022-04-03 21:47:56,-24.8667,113.6333,77.07,83,40,9.22
261,Salina,US,2022-04-03 21:50:50,38.8403,-97.6114,68.02,44,100,14.97
262,Turukhansk,RU,2022-04-03 21:51:05,65.8167,87.9833,-6.63,100,29,4.83
263,Plock,PL,2022-04-03 21:51:05,52.5468,19.7064,31.24,69,99,8.61
264,Kaeo,NZ,2022-04-03 21:51:06,-35.1,173.7833,68.32,90,20,2.33
265,Pangnirtung,CA,2022-04-03 21:51:06,66.1451,-65.7125,24.26,94,100,2.46
266,Sitio Novo Do Tocantins,BR,2022-04-03 21:51:07,-5.5183,-47.4611,75.51,94,100,3.6
267,Goundi,TD,2022-04-03 21:51:08,9.3627,17.366,90.27,31,42,11.72
268,Dong Xoai,VN,2022-04-03 21:51:09,11.5333,106.9167,72.54,78,94,5.48
269,Pleasanton,US,2022-04-03 21:50:32,37.6624,-121.8747,83.12,39,0,11.5
270,Pauini,BR,2022-04-03 21:47:07,-7.7136,-66.9764,78.73,79,97,3.13
271,Kysyl-Syr,RU,2022-04-03 21:51:10,63.8986,122.7617,15.55,96,100,4.59
272,Coahuayana,MX,2022-04-03 21:51:10,18.7333,-103.6833,83.66,51,78,7.9
273,Baruun-Urt,MN,2022-04-03 21:51:11,46.6806,113.2792,35.19,66,95,10.69
274,Gamba,GA,2022-04-03 21:52:11,-2.65,10.0,77.16,94,98,3.04
275,Port Augusta,AU,2022-04-03 21:52:12,-32.5,137.7667,62.92,57,1,2.37
276,Varhaug,NO,2022-04-03 21:52:12,58.6147,5.6457,40.89,97,100,20.71
277,Biltine,TD,2022-04-03 21:52:13,14.5333,20.9167,85.3,11,48,9.91
278,Nouakchott,MR,2022-04-03 21:50:32,18.0858,-15.9785,64.33,84,2,11.56
279,Port-Gentil,GA,2022-04-03 21:52:14,-0.7193,8.7815,81.25,80,52,5.93
280,Shelburne,CA,2022-04-03 21:50:43,44.0787,-80.2041,38.75,80,100,12.8
281,Ratangarh,IN,2022-04-03 21:52:16,28.0833,74.6,76.64,6,0,5.44
282,Pontianak,ID,2022-04-03 21:52:16,-0.0333,109.3333,75.18,100,75,2.3
283,Vardo,NO,2022-04-03 21:52:17,70.3705,31.1107,27.28,68,88,10.69
284,Abapo,BO,2022-04-03 21:52:17,-18.8333,-63.4667,76.24,52,58,8.68
285,Atambua,ID,2022-04-03 21:52:18,-9.1061,124.8925,71.02,83,18,2.51
286,Faya,SA,2022-04-03 21:50:31,18.3851,42.4509,62.71,32,93,2.21
287,Roma,US,2022-04-03 21:52:19,43.2128,-75.4557,38.95,93,100,11.01
288,Keti Bandar,PK,2022-04-03 21:52:19,24.1447,67.4497,77.61,67,17,11.3
289,Tasiilaq,GL,2022-04-03 21:47:34,65.6145,-37.6368,26.76,94,95,6.08
290,Lorengau,PG,2022-04-03 21:52:20,-2.0226,147.2712,81.14,76,100,1.43
291,Paysandu,UY,2022-04-03 21:52:20,-32.3214,-58.0756,64.6,97,100,3.49
292,Los Llanos De Aridane,ES,2022-04-03 21:49:11,28.6585,-17.9182,56.95,97,75,13.0
293,Velen,DE,2022-04-03 21:52:21,51.9,6.9833,38.59,83,46,6.89
294,Belyy Yar,RU,2022-04-03 21:52:22,53.6039,91.3903,35.85,93,40,6.71
