City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Belaya Gora,RU,68.5333,146.4167,2.32,85,80,2.55,broken clouds
124,Cap Malheureux,MU,-19.9842,57.6142,79.47,81,13,5.01,few clouds
125,Boysun,UZ,38.2061,67.1986,55.69,24,6,6.93,clear sky
126,Tuatapere,NZ,-46.1333,167.6833,63.81,53,53,5.1,broken clouds
127,Mehran,IR,33.1222,46.1646,76.87,17,45,6.02,scattered clouds
128,Omboue,GA,-1.5746,9.2618,76.8,90,100,2.17,overcast clouds
129,Lagoa,PT,39.05,-27.9833,58.78,74,96,14.34,overcast clouds
130,Chokurdakh,RU,70.6333,147.9167,-1.66,90,97,4.41,overcast clouds
131,Saint-Georges,GD,12.0564,-61.7485,78.48,73,20,23.02,few clouds
132,Sakaiminato,JP,35.55,133.2333,57.18,62,20,6.91,few clouds
133,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.28,82,47,8.5,scattered clouds
134,Dhamrai,BD,23.9202,90.2109,82.38,68,43,18.97,scattered clouds
135,Nikolskoye,RU,59.7035,30.7861,28.87,95,50,3.96,scattered clouds
136,Lensk,RU,60.7253,114.9278,18.18,80,100,11.63,overcast clouds
137,Hithadhoo,MV,-0.6,73.0833,82.81,68,5,3.78,clear sky
138,Carnarvon,AU,-24.8667,113.6333,78.87,78,40,11.5,scattered clouds
139,Severo-Kurilsk,RU,50.6789,156.125,34.16,90,27,10.33,scattered clouds
140,Mahebourg,MU,-20.4081,57.7,79.25,83,40,11.5,scattered clouds
141,Pangoa,PE,-12.1167,-73.0,68.34,92,9,2.77,clear sky
142,Kaeo,NZ,-35.1,173.7833,75.33,73,58,6.15,broken clouds
143,Geghamasar,AM,40.3109,45.6792,41.43,51,100,1.5,overcast clouds
144,Camacari,BR,-12.6975,-38.3242,80.37,91,8,4.43,clear sky
145,Zilair,RU,52.2332,57.4392,37.2,95,100,3.44,overcast clouds
146,Upington,ZA,-28.4478,21.2561,57.58,62,0,5.75,clear sky
147,Karoi,ZW,-16.8099,29.6925,61.48,95,8,3.71,clear sky
148,Denpasar,ID,-8.65,115.2167,83.86,83,20,3.44,few clouds
149,Lafiagi,NG,8.8667,5.4167,81.73,67,100,6.08,overcast clouds
150,Port Blair,IN,11.6667,92.75,84.24,74,40,3.44,scattered clouds
151,Jiazi,CN,22.8779,116.067,65.35,47,0,18.92,clear sky
152,Gayny,RU,60.3071,54.3241,26.69,95,100,8.61,light snow
153,Lebedinyy,RU,58.5167,125.5167,14.14,92,100,17.47,light snow
154,Sawakin,SD,19.1059,37.3321,77.76,65,59,4.05,broken clouds
155,College,US,64.8569,-147.8028,27.07,59,40,9.22,scattered clouds
156,Azare,NG,11.6765,10.1948,79.88,8,100,7.02,overcast clouds
157,Kjollefjord,NO,70.9457,27.3465,26.65,68,89,9.48,snow
158,Ponta Do Sol,PT,32.6667,-17.1,60.71,61,88,13.53,overcast clouds
159,Saint George,US,37.1041,-113.5841,72.25,26,0,6.91,clear sky
160,Marquette,US,46.5333,-87.6335,31.44,94,100,3.76,overcast clouds
161,Paamiut,GL,61.994,-49.6678,36.1,84,100,7.54,overcast clouds
162,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.26,93,0,6.58,clear sky
163,Toora-Khem,RU,52.4675,96.11,37.92,83,98,6.2,overcast clouds
164,Matara,LK,5.9485,80.5353,79.38,82,69,3.11,broken clouds
165,Sharlyk,RU,52.9167,54.75,37.69,93,100,6.17,overcast clouds
166,Yanam,IN,16.7333,82.2167,82.62,74,100,3.8,overcast clouds
167,Longyearbyen,SJ,78.2186,15.6401,8.44,52,20,23.02,few clouds
168,Aurich,DE,53.4667,7.4833,39.16,83,100,18.01,overcast clouds
169,Padang,ID,-0.9492,100.3543,82.45,61,3,2.21,clear sky
170,Upernavik,GL,72.7868,-56.1549,13.87,82,94,3.38,overcast clouds
171,Opuwo,NA,-18.0607,13.84,63.64,78,2,1.88,clear sky
172,Katobu,ID,-4.9408,122.5276,86.11,60,78,3.67,broken clouds
173,La Asuncion,VE,11.0333,-63.8628,87.53,58,21,17.27,few clouds
174,Saint Anthony,US,45.0205,-93.218,38.93,84,100,8.05,overcast clouds
175,Buchanan,LR,5.8808,-10.0467,78.17,89,43,4.25,scattered clouds
176,Minbu,MM,20.1833,94.8833,86.22,51,14,9.66,few clouds
177,Nizhnevartovsk,RU,60.9344,76.5531,26.62,100,75,18.01,broken clouds
178,San Cristobal,VE,7.7669,-72.225,68.18,82,71,2.68,broken clouds
179,Te Anau,NZ,-45.4167,167.7167,70.05,33,33,0.65,scattered clouds
180,Rafaela,AR,-31.2503,-61.4867,65.98,51,0,4.0,clear sky
181,Aberdeen,GB,57.1437,-2.0981,52.48,83,75,19.57,light rain
182,Los Llanos De Aridane,ES,28.6585,-17.9182,55.15,88,0,8.05,clear sky
183,Conceicao Da Barra,BR,-18.5933,-39.7322,75.4,84,5,3.94,clear sky
184,Codrington,AU,-38.2667,141.9667,63.37,64,83,11.45,broken clouds
185,Kasongo-Lunda,CD,-6.4667,16.8167,71.22,84,100,1.07,overcast clouds
186,Hebi,CN,35.8992,114.1925,63.64,46,88,13.15,overcast clouds
187,Fairbanks,US,64.8378,-147.7164,27.09,59,0,9.22,clear sky
188,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,82,20,13.76,few clouds
189,Castro,BR,-24.7911,-50.0119,61.47,98,56,5.39,broken clouds
190,Haines Junction,CA,60.7522,-137.5108,35.55,55,100,8.05,overcast clouds
191,Ilulissat,GL,69.2167,-51.1,21.22,86,23,0.0,few clouds
192,Christchurch,NZ,-43.5333,172.6333,68.95,70,100,5.75,overcast clouds
193,Anloga,GH,5.7947,0.8973,82.67,82,99,12.33,light rain
194,Pevek,RU,69.7008,170.3133,-4.02,85,5,2.59,clear sky
195,Mao,ES,39.8885,4.2658,48.76,57,40,18.41,scattered clouds
196,Manakara,MG,-22.1333,48.0167,70.84,93,27,5.61,scattered clouds
197,Kilindoni,TZ,-7.9139,39.6668,82.22,73,8,6.33,clear sky
198,Gwadar,PK,25.1216,62.3254,76.89,62,66,7.31,broken clouds
199,Kavieng,PG,-2.5744,150.7967,84.4,67,100,5.86,overcast clouds
200,Maarianhamina,AX,60.0973,19.9348,37.26,60,100,6.91,overcast clouds
201,Kaduqli,SD,11.0167,29.7167,81.91,41,23,2.42,few clouds
202,Khatanga,RU,71.9667,102.5,-16.44,99,93,2.66,overcast clouds
203,Changji,CN,44.0167,87.3167,57.99,35,0,4.47,clear sky
204,Muisne,EC,0.6,-80.0333,77.04,88,79,6.13,broken clouds
205,Iralaya,HN,15.0,-83.2333,79.11,75,95,9.57,overcast clouds
206,Iquitos,PE,-3.7481,-73.2472,73.44,94,0,3.44,clear sky
207,Liuli,TZ,-11.0833,34.6333,74.7,80,81,3.87,light rain
208,Makokou,GA,0.5738,12.8642,70.83,97,98,2.66,overcast clouds
209,Tura,IN,25.5198,90.2201,73.78,91,61,8.05,broken clouds
210,Evensk,RU,61.95,159.2333,17.78,80,26,3.78,scattered clouds
211,Marovoay,MG,-16.1,46.6333,72.9,92,0,3.76,clear sky
212,Misratah,LY,32.3754,15.0925,59.59,85,0,15.73,clear sky
213,Mongomo,GQ,1.6274,11.3135,67.96,96,94,1.97,overcast clouds
214,Ouadda,CF,8.0777,22.4007,71.94,69,96,4.88,overcast clouds
215,Massakory,TD,12.996,15.7293,82.24,10,33,9.19,scattered clouds
